title,category
Wallet for June,Shopping
Went for Painkillers,Health
Visited for Eye checkup routine visit,Health
Bought Karaoke night,Entertainment
Took a Sajha Yatayat Diesel,Transport
Eye checkup - diagnostic center,Health
Visited for Blood test,Health
Subscribed to Karaoke night from Netflix,Entertainment
Renewed Disney+ subscription from PlayStation,Entertainment
Booked Medicine,Health
Purchased Workshop registration from local college,Education
Thesis printing for January,Education
Paid for Cinema ticket family plan,Entertainment
Grabbed Cooking oil,Food
Bike fuel for September,Transport
Music album from local cinema,Entertainment
Grabbed McDonald's Fried chicken,Food
Metro card recharge for August,Transport
Groceries for August,Food
Paid Exam fee from Coursera,Education
Took out Fried rice from Wow Momo,Food
Fuel station for February,Transport
Used local garage Vehicle insurance,Transport
Registered for library Textbooks,Education
Vegetables - Subway,Food
Recharged Taxi fare for weekend trip,Transport
Breakfast at Eggs with family,Food
Bought Certification exam,Education
Amazon Prime membership for April,Entertainment
Booked Bike repair from Uber,Transport
Ordered Daraz Furniture piece,Shopping
Car rental - Sajha Yatayat,Transport
College supplies - Coursera,Education
Sajha Yatayat Flight ticket,Transport
Medicine - gym,Health
Booked Sajha Yatayat Diesel,Transport
Booked Blood test from wellness center,Health
local mall Electronics gadget,Shopping
Paid for diagnostic center Physiotherapy session,Health
Took a Sajha Yatayat Car service,Transport
Monthly Credit card payment from NEA,Bills
Maintenance fee - telecom provider,Bills
Purchased new boutique Shirt,Shopping
Cable TV bill for May,Bills
Cleared House rent from landlord,Bills
Recharged Vehicle insurance to office,Transport
Pharmacy purchase - hospital,Health
Bike fuel for May,Transport
Enrolled in Software license for study,Education
Purchased bookstore Stationery,Education
Bought Health checkup checkup,Health
Cleared insurance company Home loan installment,Bills
Bought School books for the course,Education
Bought Amazon Prime membership annual plan,Entertainment
Monthly Water bill,Bills
Went for Surgery cost,Health
Paid for telecom provider Electricity bill,Bills
Yoga class fee - gym,Health
Insurance premium,Bills
Booked Xbox Game Pass Disney+ subscription,Entertainment
Laptop bag for college,Shopping
Paid Loan EMI from utility company,Bills
Paid for Phone bill annual payment,Bills
Purchased new Charger from boutique,Shopping
Bought Vitamin supplements from hospital,Health
Monthly Mobile recharge from utility company,Bills
